01/03/2017  Tue,,"AMAZON WEB SERVICES - AWS.AMAZON.CO, WA",,,,,0.69,,,,,,,,
01/04/2017  Wed,,"ONLINE PAYMENT - THANK YOU",,,,,-360.69,,,,,,,,
01/04/2017  Wed,,"SHELL OIL 57542560503 - N CHARLESTON, SC",,,,,3.63,,,,,,,,
01/05/2017  Thu,,"JIMMY JOHNS - 858 000000001 - CHARLESTON, SC",,,,,7.72,,,,,,,,
01/07/2017  Sat,,"AMAZON.COM - AMZN.COM/BILL, WA",,,,,141.04,,,,,,,,
01/07/2017  Sat,,"THE COMMODORE - CHARLESTON, SC",,,,,22.00,,,,,,,,
01/08/2017  Sun,,"L2G*CHARLESTON CO TRE - 843-958-4360, SC",,,,,1797.29,,,,,,,,
01/08/2017  Sun,,"MOE'S SW GRILL 134 0060 - MT PLEASANT, SC",,,,,9.37,,,,,,,,
01/08/2017  Sun,,"STARBUCKS STORE 2882 - CHARLESTON, SC",,,,,2.15,,,,,,,,
01/08/2017  Sun,,"TRADER JOE'S #752 QPS 752 - MOUNT PLEASAN, SC",,,,,52.18,,,,,,,,
01/09/2017  Mon,,"SHUANG XI KITCHEN - N. CHARLESTON, SC",,,,,7.50,,,,,,,,
01/10/2017  Tue,,"CHIPOTLE - CHARLESTON, SC",,,,,7.18,,,,,,,,
01/11/2017  Wed,,"ONLINE PAYMENT - THANK YOU",,,,,-2042.88,,,,,,,,
01/11/2017  Wed,,"SUNOCO 0616113701 0616113701 - NORTH CHARLES, SC",,,,,30.36,,,,,,,,
01/14/2017  Sat,,"HOME TEAM DOWNTOWN 0057 - CHARLESTON, SC",,,,,22.37,,,,,,,,
01/14/2017  Sat,,"PIGGLY WIGGLY #197 000000000331650 - HOLLYWOOD, SC",,,,,7.17,,,,,,,,
01/14/2017  Sat,,"TRADER JOE'S #752 QPS 752 - MOUNT PLEASAN, SC",,,,,47.46,,,,,,,,
01/15/2017  Sun,,"BLIND TIGER PUB 0912 - CHARLESTON, SC",,,,,9.00,,,,,,,,
01/17/2017  Tue,,"7056 GREAT CLIPS AT SHOPP 650000008422 - NORTH CHARLES, SC",,,,,20.00,,,,,,,,
01/17/2017  Tue,,"BP#6152151CK STORE272152 6152 - CHARLESTON, SC",,,,,3.57,,,,,,,,
01/17/2017  Tue,,"SEASONS OF JAPAN- N CH 000000001 - NORTH CHARLES, SC",,,,,6.52,,,,,,,,
01/18/2017  Wed,,"CHIPOTLE 2577 0091 - NORTH CHARLES, SC",,,,,7.18,,,,,,,,
01/18/2017  Wed,,"ONLINE PAYMENT - THANK YOU",,,,,-123.54,,,,,,,,
01/19/2017  Thu,,"BP#6152151CK STORE272152 6152 - CHARLESTON, SC",,,,,9.21,,,,,,,,
01/20/2017  Fri,,"RUTLEDGE MART 0029 - CHARLESTON, SC",,,,,3.24,,,,,,,,
01/20/2017  Fri,,"RUTLEDGE MART 0029 - CHARLESTON, SC",,,,,3.88,,,,,,,,
01/20/2017  Fri,,"SHELL OIL 57542560503 - N CHARLESTON, SC",,,,,4.24,,,,,,,,
01/21/2017  Sat,,"EXXONMOBIL 4767 - CHARLESTON, SC",,,,,4.76,,,,,,,,
01/21/2017  Sat,,"HARRIS TEETER - CHARLESTON, SC",,,,,85.74,,,,,,,,
01/21/2017  Sat,,"PUBLIX - CHARLESTON, SC",,,,,6.00,,,,,,,,
01/21/2017  Sat,,"SHELL OIL 57542559901 - CHARLESTON, SC",,,,,22.76,,,,,,,,
01/21/2017  Sat,,"THE FACULTY LOUNGE - Charleston, SC",,,,,4.00,,,,,,,,
01/21/2017  Sat,,"TRIO CLUB 0535 - CHARLESTON, SC",,,,,8.00,,,,,,,,
01/22/2017  Sun,,"FIVE LOAVES - DT 0063 - CHARLESTON, SC",,,,,14.37,,,,,,,,
01/22/2017  Sun,,"FOOD LION - CHARLESTON, SC",,,,,4.86,,,,,,,,
01/23/2017  Mon,,"WALGREENS - CHARLESTON, SC",,,,,9.80,,,,,,,,
